,11_SUR,18_DCM,18_SUR,22_SUR,23_DCM,25_DCM,25_SUR,30_DCM,31_SUR,32_DCM,32_SUR,33_SUR,34_DCM,34_SUR,36_DCM,36_SUR,37_OMZ,38_DCM,38_OMZ,38_SUR,39_DCM,39_OMZ,39_SUR,41_DCM,41_SUR,42_DCM,42_SUR,45_SUR,46_SUR,48_SUR,52_DCM,52_SUR,56_MES,56_SUR,58_DCM,62_SUR,64_DCM,64_MES,64_SUR,65_DCM,65_SUR,66_DCM,66_SUR,67_SUR,68_DCM,68_MES,68_SUR,70_MES,70_SUR,72_DCM,72_MES,72_SUR,76_DCM,76_MES,76_SUR,78_DCM,78_MES,78_SUR,82_DCM,82_SUR,84_SUR,85_DCM,85_MES,85_SUR,100_DCM,100_dDCM,100_SUR,102_DCM,102_MES,102_SUR,109_DCM,109_SUR,111_DCM,111_MES,111_SUR,122_DCM,122_MES,122_SUR,123_MIX,123_SUR,124_MIX,124_SUR,125_MIX,125_SUR,MSP114,137_DCM,137_MES,137_SUR,138_DCM,138_MES,138_SUR
VC_0957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364616798,0,0,0,0,0,0,0,0,0.314301505,0.379973684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271329705,2.586081928,0.338307994,1.091358583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.614066048,0,0,0,0.703948668,0,0,0,0,0,0.295174731,0,0
VC_0958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.061519667,0,0.376072659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49356115,0,0.7244051,2.672994477,0.217912837
VC_0961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269232956,0,0.816281196,0.694473523,2.957927543,4.143634813,0,1.741498528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_0962,0,0,0,0,0,0,0,0,4.14513738,7.915650006,0.583269919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93505336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297662221,0,0,0,0,0,0,1.071123248,0,0.478992099,0,0,0,0,0,0,0.322537334,0,0.737736041,0,0,0,0,0,3.41986766,0,1.499614542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_0967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405886572,0,0,0,0,0,0,0,0,0,0,0.337779812,0,0.234506732,0,0,0,0,0,14.2060859,0,4.566260373,0,0,0,0,0,15.69413244,0,3.015856514,0.249678388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_0970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.975134446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466150858,0,21.73912376,0,0,1.661940896,0
VC_0972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.839951761,0,0,0,5.407387305,0,0.566673084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_0973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.662786795,0,0.145283956,6.73297331,0,0,0.247948208,0,1.473642297,0,0,0,0,0,0,0,0,0,0
VC_0975,0,0,0,0,0,0,0,0,0,0,0.121950673,0,2.07319916,0,0,0,0,0,0,0,0,0,0,0.15077244,0,0,0,0,0,0,0.419640859,0,0,0.206989506,0,0.300272972,0.728798166,0,0,0.087591324,0.440865959,0,0,0,0,0,0,0,0,1.73313194,0.238025341,0.787112397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_0976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6509501,0,0,0,0,0,0,0,0,0.463221905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.187026426,1.722077154,0,7.153508223,2.726917423,0,0.243261181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_0977,0,0,0,0,0,0,0,0,0,0,0.335282809,0,3.599417403,0,0,0,0,0,0,0,0,0,0,0,0,0.179839316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.235134456,0,0,0.76928313,0,0
